STATE,ST_CASE,VE_FORMS,VEH_NO,PER_NO,STR_VEH,COUNTY,DAY,MONTH,YEAR,HOUR,MINUTE,RUR_URB,FUNC_SYS,HARM_EV,MAN_COLL,SCH_BUS,MAKE,MAK_MOD,BODY_TYP,MOD_YEAR,TOW_VEH,SPEC_USE,EMER_USE,ROLLOVER,IMPACT1,FIRE_EXP,AGE,SEX,PER_TYP,INJ_SEV,SEAT_POS,REST_USE,REST_MIS,AIR_BAG,EJECTION,EJ_PATH,EXTRICAT,DRINKING,ALC_DET,ALC_STATUS,ATST_TYP,ALC_RES,DRUGS,DRUG_DET,DSTATUS,DRUGTST1,DRUGTST2,DRUGTST3,DRUGRES1,DRUGRES2,DRUGRES3,HOSPITAL,DOA,DEATH_DA,DEATH_MO,DEATH_YR,DEATH_HR,DEATH_MN,DEATH_TM,LAG_HRS,LAG_MINS,P_SF1,P_SF2,P_SF3,WORK_INJ,HISPANIC,RACE,LOCATION,FIPS,LATITUDE,LONGITUD,TEMP_F
4,40104,1,0,1,1,13,4,2,2015,16,46,2,5,9,0,0,,,,,,,,,,,73,1,6,4,0,96,8,97,8,0,0,0,9,0,0,996,0,8,0,0,0,0,0,0,0,3,0,17,2,2015,13,45,1345,308,59,0,0,0,0,7,1,11,04013,33.58917222,-112.298761110000,75.2
4,40152,1,0,1,1,21,15,3,2015,10,51,2,7,9,0,0,,,,,,,,,,,51,1,6,4,0,96,8,97,8,0,0,9,9,2,1,0,9,8,2,1,1,1,348,401,417,1,0,15,3,2015,22,54,2254,12,3,0,0,0,9,99,99,3,04021,32.87772778,-111.750688890000,75.2
4,40196,1,0,1,1,13,6,3,2015,13,26,2,3,9,0,0,,,,,,,,,,,22,1,6,4,0,96,8,97,8,0,0,8,9,2,1,0,8,8,2,1,0,0,1,0,0,5,0,6,3,2015,13,59,1359,0,33,0,0,0,0,7,2,1,04013,33.48030000,-112.073911110000,79.0
4,40198,1,0,1,1,21,11,3,2015,99,99,1,7,9,0,0,,,,,,,,,,,64,1,6,4,0,96,8,97,8,0,0,9,9,2,1,0,9,8,2,1,1,0,189,996,0,0,7,11,3,2015,99,99,9999,999,99,0,0,0,0,7,3,99,04021,99.99990000,999.999900000000,
4,40208,1,0,1,1,13,31,3,2015,13,41,2,7,9,0,0,,,,,,,,,,,20,2,6,4,0,96,8,97,8,0,0,9,9,2,1,0,9,8,2,1,0,0,1,0,0,0,7,31,3,2015,13,46,1346,0,5,0,0,0,0,7,1,23,04013,33.64048333,-112.151683330000,88.0
4,40225,1,0,1,1,21,10,4,2015,13,14,2,5,9,0,0,,,,,,,,,,,51,1,6,4,0,96,8,97,8,0,0,0,9,0,0,996,0,8,0,0,0,0,0,0,0,3,0,11,4,2015,99,99,9999,999,99,0,0,0,0,7,1,11,04021,33.45134167,-111.573519440000,80.6
4,40227,1,0,1,1,13,11,4,2015,9,54,2,3,9,0,0,,,,,,,,,,,48,1,6,4,0,96,8,97,8,0,0,9,9,2,4,0,9,8,2,8,0,0,1,0,0,5,0,11,4,2015,10,59,1059,1,5,0,0,0,0,7,1,9,04013,33.40763889,-111.856702780000,
4,40237,1,0,1,1,19,20,4,2015,8,38,2,4,9,0,0,,,,,,,,,,,76,1,6,4,0,96,8,97,8,0,0,0,9,0,0,996,0,8,0,0,0,0,0,0,0,5,0,22,4,2015,99,99,9999,999,99,0,0,0,0,7,1,3,04019,32.19944722,-110.990405560000,71.1
4,40320,1,0,1,1,21,28,5,2015,18,37,1,4,9,0,0,,,,,,,,,,,43,1,6,4,0,96,8,97,8,0,0,0,9,2,1,0,0,8,2,1,0,0,1,0,0,5,8,28,5,2015,19,42,1942,1,5,0,0,0,0,7,1,20,04021,32.61724722,-110.817913890000,90.7
4,40369,1,0,1,1,5,8,6,2015,5,4,1,3,9,0,0,,,,,,,,,,,39,1,6,4,0,96,8,97,8,0,0,0,9,0,0,996,0,8,0,0,0,0,0,0,0,5,0,8,6,2015,7,5,705,2,1,0,0,0,0,7,1,20,04005,36.13364167,-111.180555560000,63.0
4,40417,1,0,1,1,13,25,6,2015,22,16,2,3,9,0,0,,,,,,,,,,,46,2,6,4,0,96,8,97,8,0,0,9,9,2,1,0,9,8,2,1,0,0,1,0,0,0,7,25,6,2015,22,25,2225,0,9,0,0,0,0,7,1,11,04013,33.49797500,-112.138019440000,99.0
4,40425,1,0,1,1,15,1,7,2015,7,5,1,3,9,0,0,,,,,,,,,,,60,2,6,4,0,96,8,97,8,0,0,0,9,0,0,996,0,8,0,0,0,0,0,0,0,0,7,1,7,2015,7,28,728,0,23,0,0,0,0,99,1,11,04015,34.40530556,-114.183672220000,
4,40425,1,0,2,1,15,1,7,2015,7,5,1,3,9,0,0,,,,,,,,,,,63,1,6,4,0,96,8,97,8,0,0,0,9,2,1,0,0,8,8,6,0,0,95,0,0,5,0,4,7,2015,10,14,1014,75,9,0,0,0,9,99,99,11,04015,34.40530556,-114.183672220000,
4,40436,1,0,1,1,19,11,7,2015,9,48,2,3,9,0,0,,,,,,,,,,,29,1,6,4,0,96,8,97,8,0,0,0,9,0,0,996,0,8,0,0,0,0,0,0,0,5,0,16,7,2015,9,9,909,119,21,0,0,0,0,1,1,1,04019,32.22149444,-110.909694440000,89.6
4,40477,1,0,1,1,13,10,7,2015,19,51,2,7,9,0,0,,,,,,,,,,,45,1,6,4,0,96,8,97,8,0,0,9,9,0,0,996,9,8,0,0,0,0,0,0,0,5,0,19,7,2015,99,99,9999,999,99,0,0,0,0,7,1,99,04013,99.99990000,999.999900000000,
4,40482,1,0,1,1,13,24,7,2015,6,21,2,7,9,0,0,,,,,,,,,,,68,1,6,4,0,96,8,97,8,0,0,0,1,2,1,0,0,1,2,1,0,0,1,0,0,5,0,24,7,2015,8,6,806,1,45,0,0,0,0,7,1,16,04013,33.69668889,-112.322594440000,86.0
4,40524,1,0,1,1,13,20,8,2015,21,46,2,4,9,0,0,,,,,,,,,,,63,1,6,4,0,96,8,97,8,0,0,0,9,2,4,0,0,8,2,1,1,0,401,417,0,5,0,21,8,2015,17,17,1717,19,31,0,0,0,1,1,1,11,04013,33.56628333,-112.254891670000,
4,40549,1,0,1,1,13,13,8,2015,0,58,2,3,9,0,0,,,,,,,,,,,44,1,6,4,0,96,8,97,8,0,0,0,9,2,1,0,0,8,2,1,0,0,1,0,0,5,0,13,8,2015,1,34,134,0,36,0,0,0,0,7,1,16,04013,33.38686389,-112.168372220000,93.9
4,40579,1,0,1,1,19,16,9,2015,8,30,2,3,9,0,0,,,,,,,,,,,74,1,6,4,0,96,8,97,8,0,0,9,9,2,1,0,9,8,2,1,0,0,1,0,0,5,0,16,9,2015,9,5,905,0,35,0,0,0,0,7,1,1,04019,32.20681667,-110.875052780000,81.1
4,40586,1,0,1,1,19,29,9,2015,5,28,2,3,9,0,0,,,,,,,,,,,30,1,6,4,0,96,8,97,8,0,0,0,9,2,1,0,0,8,2,1,0,0,695,0,0,5,0,29,9,2015,6,4,604,0,36,0,0,0,0,7,1,16,04019,32.32298889,-111.013836110000,66.6
4,40591,1,0,1,1,13,16,9,2015,11,44,2,3,9,0,0,,,,,,,,,,,30,1,6,4,0,96,8,97,8,0,0,9,9,0,0,996,9,8,8,6,0,0,95,0,0,5,0,23,9,2015,22,40,2240,178,56,0,0,0,0,7,1,11,04013,33.49495000,-112.128969440000,93.9
4,40701,1,0,1,1,12,24,11,2015,18,35,1,6,9,0,0,,,,,,,,,,,48,2,6,4,0,96,8,97,8,0,0,0,9,2,1,0,0,8,8,6,0,0,95,0,0,1,0,25,11,2015,0,18,18,5,43,0,0,0,0,7,1,11,04012,33.77573889,-113.610350000000,64.4
4,40726,1,0,1,1,13,29,10,2015,23,53,2,3,9,0,0,,,,,,,,,,,42,1,6,4,0,96,8,97,8,0,0,9,9,2,1,0,9,8,8,6,0,0,95,0,0,3,0,30,10,2015,99,99,9999,999,99,0,0,0,0,7,1,21,04013,99.99990000,999.999900000000,
4,40747,1,0,1,1,13,3,11,2015,20,42,2,4,9,0,0,,,,,,,,,,,34,1,6,4,0,96,8,97,8,0,0,0,9,0,0,996,1,1,2,2,0,0,605,0,0,5,0,1,12,2015,16,56,1656,668,14,0,0,0,0,7,2,11,04013,33.42286389,-112.211013890000,
4,40752,1,0,1,1,13,19,11,2015,18,15,2,4,9,0,0,,,,,,,,,,,42,1,6,4,0,96,8,97,8,0,0,9,9,2,1,0,9,8,8,6,0,0,95,0,0,3,0,19,11,2015,99,99,9999,999,99,0,0,0,0,7,1,1,04013,33.52392222,-112.151505560000,66.2
4,40780,1,0,1,1,19,30,12,2015,21,10,2,4,9,0,0,,,,,,,,,,,57,1,6,4,0,96,8,97,8,0,0,9,9,2,1,25,9,8,2,1,1,1,155,401,417,0,7,30,12,2015,21,10,2110,0,0,0,0,0,9,99,99,11,04019,32.28676944,-110.991061110000,38.7
4,40791,1,0,1,1,13,24,11,2015,5,40,2,3,9,0,0,,,,,,,,,,,33,2,6,4,0,96,8,97,8,0,0,9,9,2,1,0,9,8,8,6,0,0,95,0,0,0,7,24,11,2015,5,40,540,0,0,0,0,0,0,7,3,1,04013,33.53830278,-112.151541670000,48.2
5,50052,1,0,1,1,23,11,2,2015,15,54,2,4,9,0,0,,,,,,,,,,,39,1,6,4,0,96,8,97,8,0,0,8,9,2,1,0,8,8,2,1,1,0,304,695,0,0,7,11,2,2015,15,55,1555,0,1,0,0,0,0,7,1,11,05023,35.49481944,-92.013597220000,62.6
5,50212,1,0,1,1,7,22,6,2015,18,15,1,3,9,0,0,,,,,,,,,,,40,1,6,4,0,96,8,97,8,0,0,9,9,8,95,995,8,8,8,6,0,0,95,0,0,1,0,23,6,2015,10,31,1031,16,16,0,0,0,0,99,99,11,05007,36.41846111,-94.067736110000,84.9
5,50313,1,0,1,1,75,26,8,2015,13,42,2,7,9,0,0,,,,,,,,,,,37,1,6,4,0,96,8,97,8,0,0,9,9,2,1,0,9,8,2,1,0,0,304,0,0,1,0,29,8,2015,0,25,25,58,43,0,0,0,0,7,1,3,05075,36.06109444,-90.963180560000,78.8
6,60076,1,0,1,1,1,13,1,2015,18,43,2,3,9,0,0,,,,,,,,,,,64,1,6,4,0,96,8,97,8,0,0,0,9,8,95,995,0,8,8,6,0,0,95,0,0,5,0,26,1,2015,99,99,9999,999,99,0,0,0,9,99,99,1,06001,37.87101111,-122.277508330000,55.0
6,60177,1,0,1,1,85,25,1,2015,2,20,2,2,9,0,0,,,,,,,,,,,24,1,6,4,0,96,8,97,8,0,0,1,9,2,1,220,0,8,2,1,0,0,1,0,0,0,7,25,1,2015,2,20,220,0,0,37,0,0,9,99,99,11,06085,37.36191111,-122.062869440000,46.9
6,60271,1,0,1,1,19,17,2,2015,15,25,1,6,9,0,0,,,,,,,,,,,79,1,6,4,0,96,8,97,8,0,0,9,9,8,95,995,9,8,8,6,0,0,95,0,0,0,7,17,2,2015,15,25,1525,0,0,0,0,0,9,99,99,3,06019,36.73507500,-119.462794440000,73.9
6,60272,1,0,1,1,29,17,2,2015,19,34,2,3,9,0,0,,,,,,,,,,,43,1,6,4,0,96,8,97,8,0,0,1,9,2,1,400,0,8,2,1,1,0,401,417,0,0,7,17,2,2015,19,34,1934,0,0,0,0,0,0,4,1,20,06029,35.29868333,-119.003136110000,66.0
6,60280,1,0,1,1,37,18,2,2015,15,15,2,4,9,0,0,,,,,,,,,,,17,1,6,4,0,96,8,97,8,0,0,0,9,8,95,995,0,8,8,6,0,0,95,0,0,0,7,18,2,2015,15,15,1515,0,0,0,0,0,9,99,99,3,06037,34.27190556,-118.484697220000,73.4
6,60286,1,0,1,1,73,19,2,2015,18,50,1,3,9,0,0,,,,,,,,,,,39,1,6,4,0,96,8,97,8,0,0,9,9,2,1,0,9,8,2,1,0,0,401,0,0,5,0,19,2,2015,20,7,2007,1,17,0,0,0,9,99,99,11,06073,33.18723333,-117.120711110000,60.1
6,60315,1,0,1,1,37,21,2,2015,23,2,2,3,9,0,0,,,,,,,,,,,25,1,6,4,0,96,8,97,8,0,0,9,9,2,1,0,9,8,2,1,1,0,600,605,0,0,7,21,2,2015,23,2,2302,0,0,0,0,0,0,6,1,11,06037,33.92204167,-118.378427780000,61.0
6,60324,1,0,1,1,59,18,2,2015,22,44,2,3,9,0,0,,,,,,,,,,,55,1,6,4,0,96,8,97,8,0,0,1,9,2,98,998,0,8,0,0,0,0,0,0,0,5,0,23,2,2015,1,57,157,99,13,0,0,0,9,99,99,11,06059,33.75563333,-117.834211110000,62.6
6,60347,1,0,1,1,107,24,2,2015,21,10,2,4,9,0,0,,,,,,,,,,,62,1,6,4,0,96,8,97,8,0,0,1,9,2,1,0,0,8,2,1,0,0,1,0,0,0,7,24,2,2015,21,10,2110,0,0,0,0,0,0,1,1,11,06107,36.55414444,-119.376908330000,46.4
6,60396,1,0,1,1,95,2,3,2015,0,43,2,2,9,0,0,,,,,,,,,,,18,1,6,4,0,96,8,97,8,0,0,0,1,2,1,0,0,1,2,1,0,0,1,0,0,5,0,3,3,2015,19,8,1908,42,25,0,0,0,9,99,99,13,06095,38.27271667,-122.010213890000,49.1
6,60410,1,0,1,1,75,2,3,2015,12,34,2,4,9,0,0,,,,,,,,,,,66,1,6,4,0,96,8,97,8,0,0,9,9,0,0,996,9,8,0,0,0,0,0,0,0,5,0,2,3,2015,16,20,1620,3,46,0,0,0,0,7,1,3,06075,37.76853611,-122.415608330000,57.9
6,60468,1,0,1,1,73,24,2,2015,10,10,2,3,9,0,0,,,,,,,,,,,89,1,6,4,0,96,8,97,8,0,0,9,9,8,95,995,9,8,8,6,0,0,95,0,0,5,0,24,2,2015,13,29,1329,3,19,0,0,0,0,7,1,11,06073,32.70414167,-117.104380560000,64.9
6,60492,1,0,1,1,67,16,3,2015,1,3,2,3,9,0,0,,,,,,,,,,,34,1,6,4,0,96,8,97,8,0,0,9,9,2,1,0,8,8,2,1,1,1,417,600,605,0,7,16,3,2015,1,16,116,0,13,0,0,0,9,99,99,11,06067,38.53566389,-121.409208330000,57.0
6,60597,1,0,1,1,53,26,3,2015,14,8,2,4,9,0,0,,,,,,,,,,,33,1,6,4,0,96,8,97,8,0,0,0,9,2,1,0,1,1,2,1,0,0,417,0,0,5,0,26,3,2015,99,99,9999,999,99,0,0,0,9,99,99,21,06053,36.67736667,-121.639922220000,86.0
6,60599,1,0,1,1,85,7,2,2015,19,55,2,3,9,0,0,,,,,,,,,,,34,1,6,4,0,96,8,97,8,0,0,9,9,2,1,0,8,8,2,1,1,0,401,417,0,0,7,7,2,2015,20,0,2000,0,5,0,0,0,9,99,99,9,06085,37.30740278,-121.877841670000,62.6
6,60658,1,0,1,1,59,1,4,2015,19,15,2,3,9,0,0,,,,,,,,,,,42,1,6,4,0,96,8,97,8,0,0,9,9,2,1,0,9,8,2,1,1,1,401,417,996,0,7,1,4,2015,19,15,1915,0,0,0,0,0,0,7,1,13,06059,33.79629167,-117.915202780000,66.9
6,60710,2,0,1,1,37,9,4,2015,22,52,2,3,9,0,0,,,,,,,,,,,44,1,6,4,0,96,8,97,8,0,0,9,9,8,95,995,9,8,8,6,0,0,95,0,0,0,7,9,4,2015,22,52,2252,0,0,0,0,0,9,99,99,3,06037,33.96351389,-118.385325000000,57.0
6,60783,1,0,1,1,31,9,4,2015,20,17,1,4,9,0,0,,,,,,,,,,,3,1,6,4,0,96,8,97,8,0,0,8,9,0,0,996,8,8,0,0,0,0,0,0,0,1,0,12,4,2015,11,46,1146,63,29,0,0,0,9,99,99,13,06031,36.31351944,-119.743111110000,57.0
6,60836,1,0,1,1,37,19,4,2015,2,0,2,3,9,0,0,,,,,,,,,,,33,2,6,4,0,96,8,97,8,0,0,9,9,2,1,0,9,8,2,1,1,1,401,417,600,0,7,19,4,2015,2,0,200,0,0,0,0,0,0,1,1,11,06037,33.84605833,-118.083533330000,54.1
6,60894,1,0,1,1,59,23,4,2015,13,27,2,3,9,0,0,,,,,,,,,,,50,1,6,4,0,96,8,97,8,0,0,0,9,0,0,996,0,8,0,0,0,0,0,0,0,5,0,5,5,2015,17,1,1701,291,34,0,0,0,9,99,99,1,06059,33.81467222,-117.993127780000,68.0
6,60912,1,0,1,1,59,4,5,2015,17,25,2,1,9,0,0,,,,,,,,,,,62,1,6,4,0,96,8,97,8,0,0,9,9,2,1,0,9,8,2,1,1,1,401,417,600,5,0,4,5,2015,18,6,1806,0,41,0,0,0,9,99,99,1,06059,33.76022222,-117.861527780000,64.0
6,60921,1,0,1,1,67,21,4,2015,15,45,1,5,9,0,0,,,,,,,,,,,63,1,6,4,0,96,8,97,8,0,0,0,9,2,1,0,0,8,2,1,0,0,1,0,0,0,7,21,4,2015,15,45,1545,0,0,0,0,0,9,99,99,16,06067,38.49100000,-121.451000000000,66.0
6,60923,1,0,1,1,71,22,4,2015,18,42,1,4,9,0,0,,,,,,,,,,,34,1,6,4,0,96,8,97,8,0,0,9,9,8,95,995,9,8,8,6,0,0,95,0,0,5,0,22,4,2015,19,26,1926,0,44,0,0,0,9,99,99,13,06071,34.04938056,-117.396388890000,63.0
6,60975,1,0,1,1,37,13,5,2015,15,5,2,3,9,0,0,,,,,,,,,,,78,1,6,4,0,96,8,97,8,0,0,9,9,2,1,0,9,8,2,1,0,0,1,0,0,0,7,13,5,2015,15,5,1505,0,0,0,0,0,0,1,1,1,06037,34.10175278,-118.305694440000,66.0
6,60987,1,0,1,1,13,5,5,2015,16,37,2,4,9,0,0,,,,,,,,,,,55,2,6,4,0,96,8,97,8,0,0,9,9,2,1,0,9,8,2,1,0,0,1,0,0,1,0,5,5,2015,20,32,2032,3,55,0,0,0,0,7,1,3,06013,37.79351389,-121.922527780000,66.0
6,60994,1,0,1,1,107,15,5,2015,8,21,1,5,9,0,0,,,,,,,,,,,67,1,6,4,0,96,8,97,8,0,0,0,9,8,95,995,0,8,8,6,0,0,95,0,0,0,7,15,5,2015,8,32,832,0,11,0,0,0,9,99,99,11,06107,35.94193333,-119.285913890000,-9999
6,61039,1,0,1,1,37,28,4,2015,19,50,2,3,9,0,0,,,,,,,,,,,23,1,6,4,0,96,8,97,8,0,0,0,9,2,1,0,0,8,2,1,1,0,600,605,0,5,0,28,4,2015,23,6,2306,3,16,0,0,0,0,7,4,3,06037,34.23572222,-118.498216670000,80.1
6,61050,1,0,1,1,71,24,5,2015,20,15,1,5,9,0,0,,,,,,,,,,,58,1,6,4,0,96,8,97,8,0,0,0,5,2,1,100,0,8,2,1,1,0,600,605,0,0,7,24,5,2015,20,15,2015,0,0,0,0,0,0,7,1,11,06071,34.15553611,-116.308491670000,75.9
6,61055,1,0,1,1,37,25,5,2015,21,45,2,4,9,0,0,,,,,,,,,,,35,1,6,4,0,96,8,97,8,0,0,9,9,8,95,995,9,8,8,6,0,0,95,0,0,5,0,25,5,2015,22,22,2222,0,37,0,0,0,9,99,99,1,06037,33.99297500,-118.252127780000,62.1
6,61064,1,0,1,1,55,26,5,2015,13,49,2,3,9,0,0,,,,,,,,,,,31,2,6,4,0,96,8,97,8,0,0,1,1,2,1,180,0,1,2,1,0,0,1,0,0,0,7,26,5,2015,13,49,1349,0,0,0,0,0,9,99,99,11,06055,38.50203056,-122.465130560000,64.0
6,61072,1,0,1,1,67,8,6,2015,18,45,2,4,9,0,0,,,,,,,,,,,11,1,6,4,0,96,8,97,8,0,0,9,9,8,95,995,9,8,8,6,0,0,95,0,0,5,0,8,6,2015,19,51,1951,1,6,0,0,0,9,99,99,3,06067,38.67314444,-121.102138890000,102.2
6,61083,1,0,1,1,37,11,6,2015,23,35,2,3,9,0,0,,,,,,,,,,,65,1,6,4,0,96,8,97,8,0,0,9,9,8,95,995,9,8,8,6,0,0,95,0,0,0,7,11,6,2015,23,35,2335,0,0,0,0,0,9,99,99,3,06037,34.04121667,-118.369980560000,62.1
6,61087,1,0,1,1,37,12,6,2015,21,27,2,3,9,0,0,,,,,,,,,,,69,1,6,4,0,96,8,97,8,0,0,9,9,8,95,995,9,8,8,6,0,0,95,0,0,0,7,12,6,2015,21,27,2127,0,0,0,0,0,9,99,99,11,06037,33.94103611,-118.120575000000,64.9
6,61097,1,0,1,1,73,14,6,2015,15,24,2,4,9,0,0,,,,,,,,,,,64,1,6,4,0,96,8,97,8,0,0,0,9,2,1,0,0,8,2,1,0,0,1,0,0,5,0,15,6,2015,16,8,1608,24,44,0,0,0,9,99,99,16,06073,32.97842778,-117.148686110000,73.0
6,61102,1,0,1,1,37,15,6,2015,14,45,2,4,9,0,0,,,,,,,,,,,15,1,6,4,0,96,8,97,8,0,0,9,9,0,0,996,9,8,0,0,0,0,0,0,0,5,0,22,6,2015,22,23,2223,175,38,99,99,99,9,99,99,99,06037,33.96468889,-118.262980560000,71.1
6,61104,1,0,1,1,59,30,5,2015,13,40,2,4,9,0,0,,,,,,,,,,,66,2,6,4,0,96,8,97,8,0,0,0,1,2,1,0,0,1,2,1,0,0,1,0,0,5,0,30,5,2015,14,3,1403,0,23,0,0,0,9,99,99,3,06059,33.60149722,-117.702288890000,71.1
6,61136,1,0,1,1,37,7,7,2015,20,56,2,3,9,0,0,,,,,,,,,,,57,1,6,4,0,96,8,97,8,0,0,1,5,2,1,220,0,8,8,6,0,0,95,0,0,5,0,10,7,2015,8,52,852,59,56,0,0,0,9,99,99,11,06037,34.70420833,-118.108122220000,75.0
6,61141,1,0,1,1,59,14,7,2015,8,58,2,3,9,0,0,,,,,,,,,,,58,1,6,4,0,96,8,97,8,0,0,9,9,2,1,0,9,8,8,6,0,0,95,0,0,5,0,14,7,2015,9,28,928,0,30,0,0,0,9,99,99,3,06059,33.76940556,-117.937947220000,70.0
6,61145,1,0,1,1,37,7,7,2015,18,40,2,3,9,0,0,,,,,,,,,,,56,1,6,4,0,96,8,97,8,0,0,0,9,2,1,250,0,8,8,6,0,0,95,0,0,5,0,7,7,2015,21,5,2105,2,25,0,0,0,9,99,99,3,06037,33.77996667,-118.262452780000,
6,61147,1,0,1,1,89,7,7,2015,4,45,2,3,9,0,0,,,,,,,,,,,52,1,6,4,0,96,8,97,8,0,0,9,9,8,95,995,9,8,8,6,0,0,95,0,0,0,7,7,7,2015,4,45,445,0,0,0,0,0,9,99,99,13,06089,40.43936111,-122.291913890000,73.9
6,61159,1,0,1,1,1,11,5,2015,8,31,2,4,9,0,0,,,,,,,,,,,57,2,6,4,0,96,8,97,8,0,0,9,9,2,1,0,9,8,2,1,0,0,1,0,0,0,7,11,5,2015,8,31,831,0,0,0,0,0,0,7,1,11,06001,37.57855556,-122.048230560000,54.0
6,61164,1,0,1,1,37,10,7,2015,18,58,1,3,9,0,0,,,,,,,,,,,49,1,6,4,0,96,8,97,8,0,0,9,9,8,95,995,9,8,8,6,0,0,95,0,0,0,7,10,7,2015,18,58,1858,0,0,0,0,0,9,99,99,1,06037,33.93101944,-118.364852780000,69.1
6,61189,1,0,1,1,37,7,6,2015,20,25,2,3,9,0,0,,,,,,,,,,,22,1,6,4,0,96,8,97,8,0,0,9,9,8,95,995,8,8,8,6,0,0,95,0,0,0,7,7,6,2015,20,25,2025,0,0,0,0,0,9,99,99,3,06037,33.98922222,-118.269627780000,63.0
6,61221,1,0,1,1,75,6,6,2015,21,2,2,4,9,0,0,,,,,,,,,,,23,1,6,4,0,96,8,97,8,0,0,9,9,0,0,996,8,8,0,0,0,0,0,0,0,0,7,6,6,2015,21,2,2102,0,0,0,0,0,0,1,1,11,06075,37.71713611,-122.424775000000,60.1
